Car Name,Variant,Price
ساینا,,474.0
ساینا دوگانه برج۷,,528.0
ساینا اتو,,590.0
سهند,,542.0
کوییک اس,,459.0
کوییک اس,,
کوییک اس,,461.5
کوییک(GX),,458.5
کوییک(GXR),,480.0
کوییک اتو,,616.5
کوییک اتو,,
کوییک اتو,,636.0
اطلس سفشکی,,587.5
شاهین,,840.0
شاهین,,
شاهین,,740.0
شاهین اتو,,894.0
شاهین اتو,,
شاهین اتو,,1.158
سورن(XU7P),,671.0
سورن(XU7P),,
سورن(XU7P),,677.0
سورن قالپاق,,770.0
سورن فول,,790.0
سورن دوگانه,,
سورن دوگانه,,859.0
پارس سال,,777.0
پارس سال,,
پارس سال,,805.0
پارس فول,,826.0
پارس فول,,
پارس فول,,870.0
رانا ارتقا,,733.0
پ ۲۰۷ (tu3),,707.0
پ ۲۰۷ هیدرول,,789.0
پ ۲۰۷ دنده پانا,,856.0
پ ۲۰۷ اتو فلز,,978.0
پ ۲۰۷ اتو پانا,,1.022
دنا بورسی,,789.0
دنا ۶دنده,,881.0
دنا اتو,,1.056
تارا (V1),,869.0
تارا (V2),,
تارا (V2),,985.0
تارا (V4),,1.065
هایما(S5),,1.504
هایما(S7),,1.785
هایما(S8),,
هایما(S8),,1.995
هایما(X7),,
هایما(X7),,1.705
جک(S3),,
جک(S3),,1.248
جک(J7),,
جک(J7),,1.645
جک(X5),,
جک(X5),,1.758
جک(A5),,1.554
جک(A5),,
جک(A5),,1.565
جک(T9),,
جک(T9),,2.298
فیدل۵سفید۵پر,,1.81
فیدل۵سفید۵پر,,
فیدل۵سفید۵پر,,1.83
فیدل۵مشکی۵پر,,1.825
فیدل۵مشکی۵پر,,
فیدل۵مشکی۵پر,,1.845
فیدل۷سفید۵پر,,1.86
فیدل۷مشکی۵پر,,1.895
فیدل۵سفیدنسکافه,,2.485
فیدل۵سفیدنسکافه,,
فیدل۵سفیدنسکافه,,2.42
فیدل۵مشکی‌‌‌نسکافه,,2.525
فیدل۷سفیدنسکافه,,2.545
فیدل۷سفیدنسکافه,,
فیدل۷سفیدنسکافه,,
فیدل۷مشکی‌‌نسکافه,,2.555
پرایم سفیدمشکی,,1.805
پرایم سفیدمارون,,1.825
پرایم مشکی‌مشکی,,1.835
پرایم مشکی‌مارون,,1.895
پرستیژ سفیدمشکی,,2.38
پرستیژ سفیدمارون,,2.425
پرستیژ مشکی‌مشکی,,2.445
پرستیژ مشکی‌مارون,,2.488
ایکس۲۲دنده,,
ایکس۲۲دنده,,904.0
ایکس۳۳ اتو,,
ایکس۳۳ اتو,,1.14
ایکس۵۵,,
ایکس۵۵,,1.495
آریزو۵,,1.41
آریزو۶ پرو,,1.6
آریزو۶ (gt),,1.795
آریزو۶ (gt),,
آریزو۶ (gt),,1.76
آریزو۸مشکی۴۰۲,,2.72
تیگو۷,,
تیگو۸(ie),,
تیگو۸(ie),,2.99
تیگ۸هیبرید,,
تیگ۸هیبرید,,2.87
فونیکس اف‌ایکس,,
فونیکس اف‌ایکس,,2.09
اکستریم (vx),,
اکستریم (vx),,4.565
لاماری,,1.955
لاماری,,
لاماری,,1.9
رسپکت,,1.478
رسپکت,,
رسپکت,,1.51
تیگارد,,1.332
لوین هیبرید,,2.94
لوین هیبرید,,
لوین هیبرید,,3.055
لوین۱۲۰۰,,
لوین۱۲۰۰,,2.63
لوین۱۲۰۰,,
لوین۱۲۰۰,,2.69
کرولا هیبرید,,
کرولا هیبرید,,3.1
کرولا ۱۲۰۰,,2.61
کرولا ۱۲۰۰,,
کرولا ۱۲۰۰,,2.71
کرولا کراس,,4.15
سلتوس فول۲۰۲۴,,3.95
کیا (k5)م۲۰۲۳,,3.93
چانگان(CS55)م۲۰۲۴,,2.295
چانگان(CS35)م۲۰۲۴,,1.695
گک امپو۲۰۲۴,,2.73
وزل۲۰۲۴,,3.22
اوتلندر۲۰۲۳,,4.91
هونگچی,,3.2
آئودی برقی۲۰۲۴,,6.85
سیلفی مکس۲۰۲۳,,4.07
فولکس برقی,,4.43
پراید وانت پاششی,,333.0
پراید وانت پاششی,,
پراید وانت پاششی,,338.0
اریسان,,495.0
نیسان تک,,
نیسان تک,,653.0
نیسان تک,,
نیسان تک,,760.0
نیسان دوگان سیمی رادیال,,715.0
کارون,,
